timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670890485799,663,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,271,1,1,http://localhost:8080/customers,663,0,7
1670890486463,106,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,271,1,1,http://localhost:8080/customers,106,0,0
1670890486570,152,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,271,1,1,http://localhost:8080/customers,152,0,0
1670890486722,158,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,271,1,1,http://localhost:8080/customers,158,0,0
1670890486880,99,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,271,1,1,http://localhost:8080/customers,99,0,0
1670890486979,107,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,271,1,1,http://localhost:8080/customers,107,0,0
1670890487086,115,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,271,1,1,http://localhost:8080/customers,115,0,0
1670890487201,103,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,271,2,2,http://localhost:8080/customers,103,0,0
1670890487295,111,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,271,2,2,http://localhost:8080/customers,111,0,5
1670890487304,103,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,103,0,0
1670890487406,106,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,106,0,0
1670890487407,108,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,108,0,0
1670890487512,112,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,112,0,0
1670890487515,131,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,131,0,0
1670890487625,101,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,101,0,0
1670890487646,104,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,104,0,0
1670890487727,89,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,89,0,0
1670890487750,90,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,90,0,0
1670890487816,102,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,102,0,0
1670890487841,102,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,102,0,0
1670890487918,103,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,103,0,0
1670890487943,150,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,150,0,0
1670890488021,120,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,120,0,0
1670890488093,106,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,106,0,0
1670890488141,99,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,99,0,0
1670890488199,101,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,101,0,0
1670890488240,100,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,100,0,0
1670890488300,96,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,96,0,0
1670890488340,97,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,97,0,0
1670890488396,101,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,101,0,0
1670890488437,101,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,101,0,0
1670890488497,109,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,109,0,0
1670890488538,116,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,116,0,0
1670890488607,101,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,2,2,http://localhost:8080/customers,101,0,0
1670890488654,103,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,2,2,http://localhost:8080/customers,103,0,0
1670890488708,119,Create Customer,201,,Grupo de Usuários 1-1,,true,,392,273,3,3,http://localhost:8080/customers,119,0,0
1670890488758,158,Create Customer,201,,Grupo de Usuários 1-2,,true,,392,273,3,3,http://localhost:8080/customers,158,0,0
